# MonitorFlux offline place index. GENERATED by script/make_place_index.swift — do not edit.
# Cities/admin names: GeoNames (geonames.org), CC BY 4.0. ZIP centroids: US Census ZCTA
# gazetteer 2025, public domain.
# T timezone-id | A admin1-name | C name aIdx cc lat lon pop tzIdx | Z zip lat lon
A	Victoria
A	New South Wales
A	Australian Capital Territory
A	Tasmania
A	
A	Mariehamn
A	Saatlı
A	Shusha
A	Salyan District
A	Nakhchivan
A	Neftçala
A	Lerik District
A	Lənkəran
A	İmişli
A	Fuzuli District
A	Jalilabad
A	Bilasuvar District
A	Beyləqan
A	Astara
A	Shirvan
A	Ağdam
A	Zaqatala District
A	Baki
A	Yevlax City
A	Goygol Rayon
A	Xaçmaz
A	Ucar
A	Tartar District
A	Sumqayit
A	Siyǝzǝn
A	Abşeron
A	Şǝmkir
A	Şamaxı
A	Shaki City
A	Sabirabad District
A	Qusar District
A	Quba
A	Hacıqabul
A	Qazax
A	Mingacevir City
A	Kurdamir District
A	Tovuz District
A	Ismayilli District
A	Göyçay
A	Gǝncǝ
A	Shabran
A	Barda
A	Agsu District
A	Ağdaş
A	Ağcabǝdi
A	Federation of B&H
A	Srpska
A	Brčko
A	Saint Michael
A	Rangpur Division
A	Chittagong
A	Dhaka Division
A	Sylhet Division
A	Mymensingh Division
A	Rajshahi Division
A	Khulna Division
A	Barisal Division
A	Flanders
A	Brussels Capital
A	Wallonia
A	Plateau-Central
A	Centre
A	Centre-Est
A	Centre-Nord
A	Nord
A	Boucle du Mouhoun
A	Centre-Ouest
A	Centre-Sud
A	Hauts-Bassins
A	Cascades Region
A	Est
A	Sud-Ouest
A	Sahel
A	Yambol
A	Vratsa
A	Vidin
A	Pazardzhik
A	Veliko Tarnovo
A	Varna
A	Targovishte
A	Lovech
A	Dobrich
A	Haskovo
A	Stara Zagora
A	Kyustendil
A	Sofia-Capital
A	Smolyan
A	Sliven
A	Silistra
A	Shumen
A	Gabrovo
A	Blagoevgrad
A	Sofia
A	Ruse
A	Razgrad
A	Plovdiv
A	Pleven
A	Pernik
A	Montana
A	Kardzhali
A	Burgas
A	Manama
A	Southern Governorate
A	Northern
A	Muharraq
A	Bururi
A	Rumonge
A	Bujumbura Rural
A	Bujumbura Mairie
A	Gitega
A	Cankuzo
A	Bubanza
A	Cibitoke
A	Ngozi
A	Kayanza
A	Kirundo
A	Atlantique
A	Kouffo
A	Atakora
A	Borgou
A	Ouémé
A	Alibori
A	Mono
A	Collines
A	Plateau
A	Zou
A	Donga
A	Littoral
A	Hamilton city
A	Tutong
A	Belait
A	Brunei-Muara District
A	Tarija Department
A	Santa Cruz Department
A	Cochabamba
A	Potosí Department
A	La Paz Department
A	Beni Department
A	Chuquisaca Department
A	Oruro
A	Pando
A	Bonaire
A	Maranhão
A	Pernambuco
A	Pará
A	Paraíba
A	Ceará
A	Alagoas
A	Piauí
A	Amazonas
A	Bahia
A	Rio Grande do Norte
A	Tocantins
A	Amapá
A	Sergipe
A	Santa Catarina
A	São Paulo
A	Rio de Janeiro
A	Espírito Santo
A	Minas Gerais
